date,cpi_index,rate,unemp,wage_real,hpi,mortgage,gdp_growth,usdils,eurils,cpi_yoy,cpi_yoy_clean,real_rate,rate_gap,rate_change_12m,real_wage_indexed,wage_growth_12m,hpi_total,hpi_total_indexed,hpi_growth_12m,affordability,fx_change_12m,fx_mom_pct,fx_volatility_12m,cpi_mom_pct,inflation_volatility_12m,cpi_gap,housing_loans_yoy,economic_stress_index,housing_pressure_index
2003-06-01,-0.32,7.5,,8068.93603515625,,,,4.312,4.9275,-0.32,-0.32,7.82,5.5,-1.5999999999999996,162.89295708840282,-10.394333274988622,,,,,-9.582721744600542,-1.3949233935513394,2.4426796997277753,-120.12269938699687,35.7968719964821,-2.32,,-0.2966139290651271,
2003-07-01,-1.649678013,7.0,,8472.1669921875,62.4483385815771,,2.8767526012,4.429,5.0023,-1.649678013,-1.649678013,8.649678012999999,5.0,-2.0999999999999996,171.03324754233938,0.1351255893493386,62.4483385815771,97.35987696194218,-3.9874739029197803,175.67118291367194,-5.5448923011303,2.7133580705009264,2.6229305690445317,,,-3.649678013,,-0.20645379926638616,-1.1369877622337632
2003-08-01,-1.089196676,6.5,,8406.537109375,,,,4.443,4.8502,-1.089196676,-1.089196676,7.589196676,4.5,-2.5999999999999996,169.70833362083667,-0.6503899523673695,,,,,-4.656652360515034,0.3160984420862434,2.6311038257279833,-33.97519592206627,,-3.0891966760000003,,-0.40826627659140463,
2003-09-01,-1.944434223,6.1,,8476.572265625,,,,4.441,5.1851,-1.944434223,-1.944434223,8.044434223,4.1,-3.0,171.12217971553926,0.04305995868734147,,,,,-8.827756107575457,-0.04501462975466941,2.14411291075857,78.52002910445898,,-3.944434223,,-0.6830415794614378,
2003-10-01,-2.571846435,5.6,,8522.6787109375,62.8356671849276,,2.7408664689,4.492,5.228,-2.571846435,-2.571846435,8.171846434999999,3.5999999999999996,-3.5,172.05296107073468,2.4609488413943392,62.8356671849276,97.96374034762351,-2.921868112807713,175.62922818198467,-5.7292759706190965,1.1483900022517535,2.1572720908840957,32.267083379760074,,-4.571846434999999,,-0.53522017997956,-1.0410889180417255
2003-11-01,-1.960552995,5.2,,8449.5966796875,,,,4.448,5.3231,-1.960552995,-1.960552995,7.160552995,3.2,-3.8999999999999995,170.5776056919745,0.8883067613596918,,,,,-4.199870773206971,-0.9795191451469232,2.064213188390292,-23.76866019996252,,-3.960552995,,-0.8754251214051644,
2003-12-01,-1.886136784,5.2,,8418.4111328125,,,,4.379,5.5331,-1.886136784,-1.886136784,7.086136784000001,3.2,-3.7,169.94804239803406,0.35297478548641514,,,,,-7.557525860249115,-1.5512589928057707,1.9470448422831415,-3.7956745464052033,,-3.886136784,,-0.8856413277997776,
2004-01-01,-2.266009852,4.5,,9075.326171875,61.9449783836397,,5.9130537139,4.483,5.5479,-2.266009852,-2.266009852,6.766009852,2.5,-4.4,183.20962147147162,8.618692407823003,61.9449783836397,96.57511490018284,-1.825133740620699,189.7068635753958,-6.875778977980895,2.3749714546700273,2.0361380964658866,20.140271438553302,,-4.266009852,,-0.8091799389322476,-1.188436166293509
2004-02-01,-2.453385672,4.3,,8722.138671875,,,,4.485,5.5502,-2.453385672,-2.453385672,6.753385672,2.3,-4.6000000000000005,176.07959143640937,3.730633699149144,,,,,-6.756756756756744,0.044612982377878474,2.039261546877728,8.268976405138773,,-4.453385672,,-1.0155643486888877,
2004-03-01,-2.742409403,4.3,,8652.8349609375,,,,4.528,5.5353,-2.742409403,-2.742409403,7.042409403,2.3,-4.3999999999999995,174.6805115127834,4.193258349804174,,,,,-3.392361851930892,0.9587513935339853,1.9782300548368004,11.780607276653242,,-4.742409403,,-1.0074451880822504,
2004-04-01,-1.472031403,4.1,,8375.87890625,62.6614354194246,,5.2288532318,4.588,5.4868,-1.472031403,-1.472031403,5.5720314029999995,2.0999999999999996,-4.6,169.08941616452157,0.7487704912255699,62.6614354194246,97.69210488641626,1.9721026181486412,173.08401365813222,1.4819730148197374,1.3250883392226243,1.7295693123414888,-46.32342634948296,,-3.472031403,,-0.8950203832840689,-0.5596660660440456
2004-05-01,-0.591715976,4.1,,8443.0400390625,,,,4.555,5.591,-0.591715976,-0.591715976,4.691715975999999,2.0999999999999996,-3.9000000000000004,170.44524244416604,2.2501562017136267,,,,,4.161902584038413,-0.719267654751532,1.396935332171738,-59.802761354541566,,-2.591715976,,-1.126091241398346,
2004-06-01,0.0,4.1,,8142.02587890625,,,,4.497,5.4657,0.0,0.0,4.1,2.0999999999999996,-3.4000000000000004,164.36847018327597,0.9058176125272155,,,,,4.290352504638206,-1.2733260153677262,1.383509558067242,-100.0,,-2.0,,-1.0357836188539251,
2004-07-01,0.4995004995,4.1,,8434.9296875,61.6712470475265,,5.7772698421,4.516,5.4465,0.4995004995,0.4995004995,3.6004995005,2.0999999999999996,-2.9000000000000004,170.281513404391,-0.4395251500806996,61.6712470475265,96.14835496052815,-1.2443750333493209,177.10288800499686,1.9643260329645473,0.4225038914832169,1.170883385768015,,,-1.5004995005000001,,-0.8391171711628523,-0.9169520066181033
2004-08-01,0.4985044865,4.1,,8448.4912109375,,,,4.526,5.4821,0.4985044865,0.4985044865,3.6014955134999997,2.0999999999999996,-2.4000000000000004,170.55528886198954,0.49906520386036046,,,,,1.8681071348188194,0.22143489813994943,1.170117222018975,-0.19940180260019646,,-1.5014955135,,-0.9370797378179218,
2004-09-01,0.8016032064,4.1,,8434.884765625,,,,4.482,5.5247,0.8016032064,0.8016032064,3.2983967935999994,2.0999999999999996,-2.0,170.28060653674143,-0.49179666843701675,,,,,0.9232154920063129,-0.9721608484312805,1.2146896198810795,60.80160321686494,,-1.1983967936,,-0.8446848533204973,
